Sample Id,Fjord,Station,Replicate,Depth,Hydrogen,d13Corg,%C,C/N,Fe,Mn
AB-0-1,Van Keulenfjorden,AB,1,0.5,0.776596818,-29.831,1.6505,12.03865791,24.78122799,65.9422808
AB-1-0-1,Van Keulenfjorden,AB,1,0.5,0.776596818,-29.831,1.6505,12.03865791,24.78122799,65.9422808
AB-1-2,Van Keulenfjorden,AB,1,1.5,0.776596818,-27.2865,1.65015,12.38429809,109.0583942,56.27701375
AB-10-11,Van Keulenfjorden,AB,1,10.5,0.498475856,-25.9885,1.5153,13.10742092,314.5968662,33.88660616
AB-11-12,Van Keulenfjorden,AB,1,11.5,0.498475856,-25.009,1.4652,12.69670711,317.8902783,34.46916437
AB-12-13,Van Keulenfjorden,AB,1,12.5,0.685360142,-25.009,1.4652,12.69670711,318.8247,29.47371159
AB-13-14,Van Keulenfjorden,AB,1,13.5,0.685360142,-24.781,1.5234,13.22395833,325.9580476,27.56603503
AB-14-15,Van Keulenfjorden,AB,1,14.5,0.685360142,-25.498,1.434,12.45873154,321.3067933,27.72393287
AB-2-1-2,Van Keulenfjorden,AB,2,1.5,0.776596818,-27.2865,1.65015,12.38429809,109.0583942,56.27701375
AB-2-13-14,Van Keulenfjorden,AB,2,13.5,0.685360142,-24.781,1.5234,13.22395833,325.9580476,27.56603503
AB-2-14-15,Van Keulenfjorden,AB,2,14.5,0.685360142,-25.498,1.434,12.45873154,321.3067933,27.72393287
AB-2-16-17,Van Keulenfjorden,AB,2,16.5,0.772004199,-24.763,1.5113,13.35070671,312.2566934,26.51832155
AB-2-17-18,Van Keulenfjorden,AB,2,17.5,0.772004199,-25.618,1.423,12.9011786,302.8028408,25.9843537
AB-2-18-19,Van Keulenfjorden,AB,2,18.5,0.772004199,-25.856,1.3618,13.0440613,293.3489882,25.45038586
AB-2-2-3,Van Keulenfjorden,AB,2,2.5,0.776596818,-27.2865,1.65015,12.38429809,227.615477,31.51445849
AB-2-3,Van Keulenfjorden,AB,2,2.5,0.776596818,-27.2865,1.65015,12.38429809,227.615477,31.51445849
AB-2-3-4,Van Keulenfjorden,AB,2,3.5,0.736741965,-24.742,1.6498,12.72993827,255.0437956,36.63064833
AB-2-4-5,Van Keulenfjorden,AB,2,4.5,0.736741965,-25.262,1.6428,12.53089245,292.4026365,31.87127408
AB-3-4,Van Keulenfjorden,AB,1,3.4,0.736741965,-24.742,1.6498,12.72993827,255.0437956,36.63064833
AB-4-5,Van Keulenfjorden,AB,1,4.5,0.736741965,-25.262,1.6428,12.53089245,292.4026365,31.87127408
AB-5-6,Van Keulenfjorden,AB,1,5.5,0.736741965,-24.19,1.8576,9.150738916,293.6869706,31.79941265
AB-6-7,Van Keulenfjorden,AB,1,6.5,0.876786579,-24.325,1.6158,13.65849535,310.6261336,32.7997302
AB-7-8,Van Keulenfjorden,AB,1,7.5,0.876786579,-24.886,1.4508,12.55017301,301.7547398,32.68932989
AB-8-9,Van Keulenfjorden,AB,1,8.5,0.876786579,-26.965,1.3977,12.26052632,304.2382378,32.81895342
AB-9-10,Van Keulenfjorden,AB,1,9.5,0.498475856,-26.968,1.5654,13.51813472,309.8225091,33.57924713
AB2-0-1,Van Keulenfjorden,AB,2,0.5,0.776596818,-29.831,1.6505,12.03865791,24.78122799,65.9422808
AB2-10-11,Van Keulenfjorden,AB,2,10.5,0.498475856,-25.9885,1.5153,13.10742092,314.5968662,33.88660616
AB2-12-13,Van Keulenfjorden,AB,2,12.5,0.685360142,-25.009,1.4652,12.69670711,318.8247,29.47371159
AB2-5-6,Van Keulenfjorden,AB,2,5.5,0.736741965,-24.19,1.8576,9.150738916,293.6869706,31.79941265
AB2-6-7,Van Keulenfjorden,AB,2,6.5,0.876786579,-24.325,1.6158,13.65849535,310.6261336,32.7997302
AB2-7-8,Van Keulenfjorden,AB,2,7.5,0.876786579,-24.886,1.4508,12.55017301,301.7547398,32.68932989
AB2-8-9,Van Keulenfjorden,AB,2,8.5,0.876786579,-26.965,1.3977,12.26052632,304.2382378,32.81895342
AB2-9-10,Van Keulenfjorden,AB,2,9.5,0.498475856,-26.968,1.5654,13.51813472,309.8225091,33.57924713
AC-1-0-1,Van Keulenfjorden,AC,1,0.5,0.512167918,-26.329,1.4333,13.3953271,0.341310455,120.5463843
AC-1-1-2,Van Keulenfjorden,AC,1,1.5,0.512167918,-25.546,1.49,11.46153846,48.04642205,161.7115385
AC-1-10-11,Van Keulenfjorden,AC,1,10.5,0.698249758,-26.364,1.5119,13.88337925,255.928678,80.35305769
AC-1-11-12,Van Keulenfjorden,AC,1,11.5,0.698249758,-26.029,1.4454,13.22415371,294.3841463,73.23384232
AC-1-12-13,Van Keulenfjorden,AC,1,12.5,0.56179849,-25.853,1.2606,14.16404494,373.5725828,66.11462696
AC-1-13-14,Van Keulenfjorden,AC,1,13.5,0.56179849,-25.96,1.356,13.03846154,416.3353659,63.86346405
AC-1-15-16,Van Keulenfjorden,AC,1,15.5,0.722999435,-25.883,1.3485,13.73217923,538.2865854,61.61230114
AC-1-17-18,Van Keulenfjorden,AC,1,17.5,0.722999435,-26.192,1.4823,13.71230342,644.0509612,59.99671601
AC-1-18-19,Van Keulenfjorden,AC,1,18.5,1.407910409,-25.856,1.3618,13.0440613,644.0509612,59.99671601
AC-1-2-3,Van Keulenfjorden,AC,1,2.5,0.512167918,-25.637,1.4188,13.0764977,48.04642205,218.3781836
AC-1-3-4,Van Keulenfjorden,AC,1,3.5,0.687055879,-25.914,1.527,13.84406165,24.66557296,230.4041021
AC-1-5-6,Van Keulenfjorden,AC,1,5.6,0.687055879,-24.19,1.8576,9.150738916,1.626727494,217.3458168
AC-1-6-7,Van Keulenfjorden,AC,1,6.5,0.703846697,-25.966,1.4526,12.74210526,2.017193244,193.1782454
AC-1-7-8,Van Keulenfjorden,AC,1,7.5,0.703846697,-25.804,1.5514,13.47871416,50.51829268,155.1158665
AC-1-8-9,Van Keulenfjorden,AC,1,8.5,0.703846697,-25.854,1.3904,13.35638809,70.17997905,117.0534876
AC-2-17-18,Van Keulenfjorden,AC,2,17.5,0.722999435,-25.618,1.423,12.9011786,644.0509612,59.99671601
AC-2-19-20,Van Keulenfjorden,AC,2,19.5,1.407910409,-25.465,1.5154,13.55456172,658.4755881,58.77111321
AC-2-5-6,Van Keulenfjorden,AC,2,5.5,0.687055879,-24.19,1.8576,9.150738916,1.626727494,217.3458168
AC-2-9-10,Van Keulenfjorden,AC,2,9.5,0.698249758,-26.968,1.5654,13.51813472,163.0543285,98.70327266
AC2-0-1,Van Keulenfjorden,AC,2,0.5,0.512167918,-26.329,1.4333,13.3953271,0.341310455,120.5463843
AC2-1-2,Van Keulenfjorden,AC,2,1.5,0.512167918,-25.546,1.49,11.46153846,48.04642205,161.7115385
AC2-10-11,Van Keulenfjorden,AC,2,10.5,0.698249758,-26.364,1.5119,13.88337925,255.928678,80.35305769
AC2-11-12,Van Keulenfjorden,AC,2,11.5,0.698249758,-26.029,1.4454,13.22415371,294.3841463,73.23384232
AC2-12-13,Van Keulenfjorden,AC,2,12.5,0.56179849,-25.853,1.2606,14.16404494,373.5725828,66.11462696
AC2-13-14,Van Keulenfjorden,AC,2,13.5,0.56179849,-25.96,1.356,13.03846154,416.3353659,63.86346405
AC2-15-16,Van Keulenfjorden,AC,2,15.5,0.722999435,-25.883,1.3485,13.73217923,538.2865854,61.61230114
AC2-16-17,Van Keulenfjorden,AC,2,16.5,0.722999435,-26.192,1.4823,13.71230342,644.0509612,59.99671601
AC2-2-3,Van Keulenfjorden,AC,2,2.5,0.512167918,-25.637,1.4188,13.0764977,48.04642205,218.3781836
AC2-3-4,Van Keulenfjorden,AC,2,3.5,0.687055879,-25.914,1.527,13.84406165,24.66557296,230.4041021
AC2-4-5,Van Keulenfjorden,AC,2,4.5,0.687055879,-25.66,1.37,12.23214286,1.303961602,244.8551009
AC2-6-7,Van Keulenfjorden,AC,2,6.5,0.703846697,-25.966,1.4526,12.74210526,2.017193244,193.1782454
AC2-7-8,Van Keulenfjorden,AC,2,7.5,0.703846697,-25.804,1.5514,13.47871416,50.51829268,155.1158665
AC2-8-9,Van Keulenfjorden,AC,2,8.5,0.703846697,-25.854,1.3904,13.35638809,70.17997905,117.0534876
