Depth,Station,SRR,sd
0.5,AC,0.1,0.1
1.5,AC,0.4,0
2.5,AC,6.4,8.9
3.5,AC,9.8,13.8
4.5,AC,2.7,3.8
5.5,AC,0.5,0.6
6.5,AC,0.1,0.1
7.5,AC,0.4,0.4
8.5,AC,1.0,0.8
9.5,AC,1.0,0.7
10.5,AC,1.5,0.2
11.5,AC,1.7,1
12.5,AC,1.1,0.3
13.5,AC,2.2,0.4
14.5,AC,6.5,4.7
15.5,AC,7.2,7.7
16.5,AC,8.6,9.3
17.5,AC,6.2,5.9
18.5,AC,19.9,25
19.5,AC,11.4,11.8
20.5,AC,14.1,12.9
21.5,AC,17.2,21
0.5,AB,2.9,
1.5,AB,2.9,
2.5,AB,53.6,
3.5,AB,22,
4.5,AB,18.7,
5.5,AB,17.2,
6.5,AB,18.7,
7.5,AB,12.9,
8.5,AB,15.9,
9.5,AB,10.6,
10.5,AB,13.4,
11.5,AB,16,
12.5,AB,13.4,
13.5,AB,16.3,
14.5,AB,9.3,
