Fjord,Station,Depth,TOC,CtoN,d13C,d15N
KF,P,1.5,0.7637,9.016528926,-22.938,3.88
KF,P,6.5,0.512,8.590604027,-25.461,2.681
KF,P,6.5,0.5197,8.661666667,-24.521,4.609
KF,P,3.5,0.4901,10.51716738,-24.829,4.397
KF,P,5.5,0.449,10.63981043,-24.326,4.931
KF,P,7.5,0.4761,10.89473684,-25.026,4.917
KF,P,9.5,0.4302,11.05912596,-24.647,4.296
KF,P,11.5,0.4498,8.802348337,-24.873,7.812
KF,P,12.5,0.3804,9.144230769,-25.41,4.572
KF,P,13.5,0.5086,13.24479167,-25.493,4.691
KF,P,14.5,0.3985,12.07575758,-24.811,4.818
KF,F,0.5,0.5533,9.425894378,-25.088,6.322
KF,F,1.5,0.4892,12.51150895,-25.172,4.791
KF,F,2.5,0.3827,9.449382716,-24.234,4.934
KF,F,3.5,0.438,8.202247191,-24.863,5.46
KF,F,4.5,0.5064,9.308823529,-24.727,3.649
KF,F,5.5,0.6764,13.77596741,-25.917,4.916
KF,F,5.5,0.5861,9.801003344,-26.197,0.737
KF,F,7.5,0.4027,8.604700855,-24.122,5.2
KF,F,9.5,0.5355,8.91014975,-24.112,5.021
KF,F,10.5,0.4123,10.49109415,-25.269,4.474
KF,F,11.5,0.3318,9.963963964,-24.71,4.681
KF,F,14.5,0.4183,9.034557235,-24.673,4.138
KF,F,15.5,0.3803,8.358241758,-25.185,3.434
KF,F,16.5,0.384,9.32038835,-25.704,4.422
KF,F,16.5,0.4864,8.639431616,-24.981,5.469
VK,AB,1.5,1.6505,12.03865791,-29.831,
VK,AB,3.5,1.6498,12.72993827,-24.742,4.71
VK,AB,4.5,1.6428,12.53089245,-25.262,4.736
VK,AB,5.5,1.8576,9.150738916,-24.19,6.11
VK,AB,6.5,1.6158,13.65849535,-24.325,4.323
VK,AB,7.5,1.4508,12.55017301,-24.886,4.135
VK,AB,8.5,1.3977,12.26052632,-26.965,2.703
VK,AB,9.5,1.5654,13.51813472,-26.968,2.701
VK,AB,11.5,1.4652,12.69670711,-25.009,3.63
VK,AB,11.5,1.4567,13.0178731,-25.031,3.691
VK,AB,12.5,1.4652,12.69670711,-25.009,3.63
VK,AB,13.5,1.5234,13.22395833,-24.781,4.407
VK,AB,14.5,1.434,12.45873154,-25.498,
VK,AB,16.5,1.5113,13.35070671,-24.763,4.653
VK,AB,17.5,1.423,12.9011786,-25.618,4.078
VK,AB,18.5,1.3618,13.0440613,-25.856,3.823
VK,AB,19.5,1.5154,13.55456172,-25.465,4.08
VK,AC,0.5,1.4333,13.3953271,-26.329,4.089
VK,AC,1.5,1.49,11.46153846,-25.546,4.194
VK,AC,2.5,1.4188,13.0764977,-25.637,3.841
VK,AC,3.5,1.527,13.84406165,-25.914,3.739
VK,AC,4.5,1.37,12.23214286,-25.66,4.093
VK,AC,5.5,1.4278,12.50262697,-25.868,3.723
VK,AC,6.5,1.4526,12.74210526,-25.966,3.783
VK,AC,7.5,1.5514,13.47871416,-25.804,3.403
VK,AC,8.5,1.3904,13.35638809,-25.854,3.878
VK,AC,9.5,1.4943,12.84866724,-25.861,4.167
VK,AC,10.5,1.5119,13.88337925,-26.364,3.467
VK,AC,11.5,1.4454,13.22415371,-26.029,3.756
VK,AC,12.5,1.2606,14.16404494,-25.853,3.397
VK,AC,12.5,1.3901,13.95682731,-25.71,3.218
VK,AC,13.5,1.356,13.03846154,-25.96,3.647
VK,AC,15.5,1.3485,13.73217923,-25.883,3.447
VK,AC,16.5,1.4823,13.71230342,-26.192,3.526
VK,AC,17.5,1.3773,13.58284024,-27.09,12.22
VK,AC,19.5,1.3575,13.79573171,-25.819,3.288
VK,AC,19.5,1.2786,13.33263816,-26.323,1.062
VK,HA,0.5,1.3635,13.16119691,-26.166,3.926
VK,HA,1.5,1.3634,13.68875502,-26.219,3.709
VK,HA,2.5,1.329,13.64476386,-26.203,3.858
VK,HA,3.5,1.4061,14.2173913,-26.29,3.37
VK,HA,3.5,1.2615,13.43450479,-26.165,3.543
VK,HA,4.5,1.2271,13.05425532,-26.362,3.544
VK,HA,5.5,1.3486,14.07724426,-26.183,3.538
VK,HA,7.5,1.4498,14.10311284,-26.381,3.69
VK,HA,8.5,1.3927,13.482091,-25.795,3.549
VK,HA,8.5,1.2609,12.67236181,-26.596,-0.074
VK,HA,9.5,1.3157,13.84947368,-26.238,3.505
VK,HA,10.5,1.4423,13.51733833,-26.131,3.614
VK,HA,11.5,1.5401,12.93115029,-25.683,3.944
VK,HA,12.5,1.4508,13.33455882,-26.939,0.008
VK,HA,13.5,1.3972,13.29400571,-25.678,3.716
VK,HA,14.5,1.5324,14.47025496,-25.979,3.562
VK,HA,15.5,1.3355,12.55169173,-26.458,3.69
VK,HA,16.5,1.3875,12.67123288,-25.923,3.429
VK,HA,17.5,1.4234,13.1918443,-26.061,3.745
VK,HA,18.5,1.4389,13.15265082,-25.908,3.496
VK,HA,22.5,1.4664,13.31880109,-26.222,3.615
